-1.777 0.2527 0.7338  -0.698 0.1979 0.2662  
1.000 0.000  -2.16144
1.000 0.000  -2.34217
1.000 0.000  -1.9809
1.000 0.000  -1.78845
1.000 0.000  -1.78845
1.000 0.000  -1.78845
1.000 0.000  -1.78845
1.000 0.000  -1.78845
1.000 0.000  -2.23206
1.000 0.000  -2.23206
1.000 0.000  -2.23206
1.000 0.000  -2.15466
1.000 0.000  -2.15466
1.000 0.000  -2.14899
1.000 0.000  -2.14014
1.000 0.000  -2.14014
1.000 0.000  -2.14014
1.000 0.000  -1.61885
1.000 0.000  -1.61885
1.000 0.000  -1.61885
1.000 0.000  -2.12051
1.000 0.000  -2.12051
1.000 0.000  -2.01654
1.000 0.000  -2.02526
1.000 0.000  -2.02526
1.000 0.000  -2.02526
1.000 0.000  -1.60662
1.000 0.000  -1.60662
1.000 0.000  -1.60662
1.000 0.000  -1.60662
1.000 0.000  -1.60662
1.000 0.000  -1.60662
1.000 0.000  -1.60662
1.000 0.000  -1.60662
1.000 0.000  -1.60662
1.000 0.000  -1.60662
1.000 0.000  -1.60662
1.000 0.000  -1.60662
1.000 0.000  -1.60662
1.000 0.000  -1.52672
1.000 0.000  -1.52672
1.000 0.000  -2.29889
1.000 0.000  -2.29889
1.000 0.000  -2.29889
1.000 0.000  -2.29889
1.000 0.000  -1.70976
1.000 0.000  -1.70976
1.000 0.000  -1.70976
1.000 0.000  -1.70976
1.000 0.000  -1.70976
1.000 0.000  -1.70976
1.000 0.000  -1.70976
1.000 0.000  -1.64513
1.000 0.000  -1.64513
1.000 0.000  -1.64513
1.000 0.000  -1.64513
1.000 0.000  -1.64513
1.000 0.000  -1.87262
1.000 0.000  -1.87262
1.000 0.000  -1.87262
1.000 0.000  -1.99953
1.000 0.000  -1.99953
1.000 0.000  -1.99953
1.000 0.000  -1.99953
1.000 0.000  -1.99953
1.000 0.000  -1.99953
1.000 0.000  -2.23734
1.000 0.000  -2.23734
1.000 0.000  -2.23734
1.000 0.000  -2.23734
1.000 0.000  -1.92522
1.000 0.000  -1.92522
1.000 0.000  -1.92522
1.000 0.000  -1.92522
1.000 0.000  -1.92522
1.000 0.000  -1.92522
1.000 0.000  -1.95713
1.000 0.000  -1.95713
1.000 0.000  -1.95713
1.000 0.000  -1.95713
1.000 0.000  -2.01442
1.000 0.000  -2.01442
1.000 0.000  -2.01442
1.000 0.000  -2.01442
1.000 0.000  -2.01442
1.000 0.000  -2.01442
1.000 0.000  -1.90448
1.000 0.000  -1.90448
1.000 0.000  -1.90448
1.000 0.000  -1.90448
1.000 0.000  -1.90448
1.000 0.000  -1.90448
1.000 0.000  -1.68924
1.000 0.000  -1.68924
1.000 0.000  -1.68924
1.000 0.000  -1.68924
1.000 0.000  -1.68924
1.000 0.000  -1.68924
1.000 0.000  -1.68924
1.000 0.000  -1.68924
1.000 0.000  -1.68119
1.000 0.000  -1.68119
1.000 0.000  -1.68119
1.000 0.000  -1.68119
1.000 0.000  -1.68119
1.000 0.000  -1.68119
